CATALOG NUMBER,IDENTIFICATION,ORDER,FAMILY,GENUS,SPECIES,SUBSPECIES,COUNTRY,STATE,COUNTY,PRECISE LOCALITY,OCEAN,ISLAND GROUP,ISLAND,LATITUDE,LONGITUDE,COLLECTOR(S),COLLECTING DATE FROM,COLLECTING DATE TO,COLLECTORS NUMBER,SEX,AGE,PREPS
SKIN 212666,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,28 May 1926,,-,Male,,Skin 
SKIN 212667,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,28 May 1926,,-,Male,,Skin 
SKIN 212668,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,26 May 1926,,-,Male,,Skin 
SKIN 212669,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,28 May 1926,,-,Male,,Skin 
SKIN 212670,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,25 May 1926,,-,Male,,Skin 
SKIN 212671,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,29 May 1926,,-,Male,,Skin 
SKIN 212672,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,25 May 1926,,-,Male,,Skin 
SKIN 212673,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,24 May 1926,,-,Female,,Skin 
SKIN 212674,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,24 May 1926,,-,Female,,Skin 
SKIN 212675,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,28 May 1926,,-,Female,,Skin 
SKIN 212676,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,29 May 1926,,-,Female,,Skin 
SKIN 212677,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,29 May 1926,,-,Female,,Skin 
SKIN 212678,Zosterops albogularis,Passeriformes,Zosteropidae,Zosterops,albogularis,,,,,Norfolk Is.,South Pacific,,,,,R. H. Beck & Ass'ts,28 May 1926,,-,Female,,Skin 
